off	new_ids	string
0x002f2a4c	ERRROR	ERRROR 3 %d 
0x002f3bc8	EXF2_ACCELERATE1	EXF2_ACCELERATE1
0x002f3bdc	EXF2_ACCELERATE2	EXF2_ACCELERATE2
0x002f3bf0	EXF2_ACCELERATE3	EXF2_ACCELERATE3
0x002f3c04	EXF2_ACCELERATE4	EXF2_ACCELERATE4
0x002f3c3c	EXF2_ALPHADEC2	EXF2_ALPHADEC2
0x002f3b58	EXF2_COLORBLEND	EXF2_COLORBLEND
0x002f3b10	EXF2_CONTROLATCREATE	EXF2_CONTROLATCREATE
0x002f3c60	EXF2_DAYLIGHT	EXF2_DAYLIGHT
0x002f3c4c	EXF2_DIFFUSELIGHT	EXF2_DIFFUSELIGHT
0x002f3c18	EXF2_DISPERSE1	EXF2_DISPERSE1
0x002f3c70	EXF2_EDITTEX	EXF2_EDITTEX
0x002f3b28	EXF2_FASTTRACK	EXF2_FASTTRACK
0x002f3ba8	EXF2_FFASTTRACK	EXF2_FFASTTRACK
0x002f3c80	EXF2_MAINLEAVES	EXF2_MAINLEAVES
0x002f3c28	EXF2_MOTIONDRAG1	EXF2_MOTIONDRAG1
0x002f3b68	EXF2_NOTEX	EXF2_NOTEX
0x002f3b00	EXF2_OUTLINE	EXF2_OUTLINE
0x002f3b74	EXF2_OWNERFADE	EXF2_OWNERFADE
0x002f3bb8	EXF2_SCALEDEC	EXF2_SCALEDEC
0x002f3c90	EXF2_SIDELEAVES	EXF2_SIDELEAVES
0x002f3b84	EXF2_TALL	EXF2_TALL
0x002f3b38	EXF2_VELOPING2	EXF2_VELOPING2
0x002f3b48	EXF2_VELOTOCHAR	EXF2_VELOTOCHAR
0x002f3b90	EXF2_WIDEX	EXF2_WIDEX
0x002f3b9c	EXF2_WIDEZ	EXF2_WIDEZ
0x002f3308	EXF_ABSOLUTE	EXF_ABSOLUTE
0x002f3390	EXF_ALPHADEC	EXF_ALPHADEC
0x002f3454	EXF_ALPHAINC	EXF_ALPHAINC
0x002f3380	EXF_ALPHAPING	EXF_ALPHAPING
0x002f3354	EXF_BOUNCE	EXF_BOUNCE
0x002f33c0	EXF_BOUNCE1	EXF_BOUNCE1
0x002f33cc	EXF_BOUNCE2	EXF_BOUNCE2
0x002f33d8	EXF_BOUNCE3	EXF_BOUNCE3
0x002f33e4	EXF_BOUNCE4	EXF_BOUNCE4
0x002f34b8	EXF_CONVECT	EXF_CONVECT
0x002f349c	EXF_DOSPLASH	EXF_DOSPLASH
0x002f3448	EXF_FLICKER	EXF_FLICKER
0x002f3420	EXF_FULLCAM	EXF_FULLCAM
0x002f3464	EXF_GRAVITY	EXF_GRAVITY
0x002f348c	EXF_HORIZONTAL	EXF_HORIZONTAL
0x002f3370	EXF_HORZFLIP	EXF_HORZFLIP
0x002f33f0	EXF_IMKILL	EXF_IMKILL
0x002f33b0	EXF_INFINITE	EXF_INFINITE
0x002f3338	EXF_LOWGRAVITY	EXF_LOWGRAVITY
0x002f3470	EXF_NOCAM	EXF_NOCAM
0x002f32fc	EXF_NONE	EXF_NONE
0x002f343c	EXF_NOOWNER	EXF_NOOWNER
0x002f3348	EXF_NOZB	EXF_NOZB
0x002f3410	EXF_PRETRANS	EXF_PRETRANS
0x002f3328	EXF_RELATANG	EXF_RELATANG
0x002f3318	EXF_RELATIVE	EXF_RELATIVE
0x002f342c	EXF_SCALEINC	EXF_SCALEINC
0x002f34ac	EXF_SETSFX	EXF_SETSFX
0x002f347c	EXF_SPECIALROT	EXF_SPECIALROT
0x002f33fc	EXF_SPECIALROTINC	EXF_SPECIALROTINC
0x002f34c4	EXF_SWAY	EXF_SWAY
0x002f33a0	EXF_VELOPING	EXF_VELOPING
0x002f3360	EXF_VERTFLIP	EXF_VERTFLIP
0x002e8200	EXPGFX_COL	EXPGFX_COL
0x00310774	EXPLODER,modelno	EXPLODER.c: modelno out of range romdefno=%d
0x0030cb9c	Balloon	Error Balloon Baddie MUST have a baddie curve network!
0x00316270	attaching,springs	Error attaching too many springs to a vertex
0x002f6c70	findBounds,lastpolyworld	Error findBounds obj romdefno %d  lastpolyworld %f %f %f
0x002f69d8	getPatchEndPoint	Error in getPatchEndPoint 1
0x002f69f8	getPatchEndPoint	Error in getPatchEndPoint 2
0x002f70f0	groupno,mapno	Error in gplayGetObjGroupStatus (mapno %d, groupno %d)
0x002f7128	groupno,mapno	Error in gplaySetObjGroupStatus (mapno %d, groupno %d)
0x003020e4	info_text	Error in info_text: more than four lines
0x0031ea74	Pieace	Error in setting up Explode Pieace List
0x0030cc30	swarm	Error swarm Baddie MUST have a baddie curve network!
0x003214b0	BWalphaanim,MAX_SPEEDS	Error: BWalphaanim.c : MAX_SPEEDS exceeded!
0x002e7140	attempting	FONTS - You must specify a font to use before attempting to print anything
0x002e72c0	attempting	FONTS - attempting to use font %d, font out of range.
0x002e7350	unspecified	FONTS - cannot word wrap a string using an unspecified font.
0x002e70d8	trying	FONTS - trying to print a string to a no existent window!
0x002e70a0	unable	FONTS - unable to free font number %d, out of range
0x002e7068	unable	FONTS - unable to load font number %d, out of range
0x0030c9a8	SIDECMD_GUARD,nearestLowObj	Failed assertion !( !nearestLowObj && command != SIDECMD_GUARD )
0x002ea228	OBJ_STATE_ISFROZEN	Failed assertion !(object->stateFlags&OBJ_STATE_ISFROZEN)
0x002efb00	GC_SHADERATTRIBUTE_WATER	Failed assertion !(shader->attributes&GC_SHADERATTRIBUTE_WATER)
0x002eb854	GC_VERTEXFORMAT_COLOUR,inputFormat	Failed assertion !(shader->inputFormat&GC_VERTEXFORMAT_COLOUR)
0x002e7aa0	channelInfo	Failed assertion !channelInfo[GX_ALPHA0].set
0x002e7b00	channelInfo	Failed assertion !channelInfo[GX_ALPHA1].set
0x002e7a10	channelInfo	Failed assertion !channelInfo[GX_COLOR0A0].set
0x002e7a70	channelInfo	Failed assertion !channelInfo[GX_COLOR0].set
0x002e7a40	channelInfo	Failed assertion !channelInfo[GX_COLOR1A1].set
0x002e7ad0	channelInfo	Failed assertion !channelInfo[GX_COLOR1].set
0x002e79e0	channelID,channelInfo	Failed assertion !channelInfo[channelID].set
0x0030fae0	krystalIsClaw,objGetMain	Failed assertion !krystalIsClaw(objGetMain())
0x002dfb34	cmdList	Failed assertion ((u32)cmdList & 0x1F)==0
0x002eaab8	mdist	Failed assertion *mdist > 0.0F
0x002dc614	CurrAutoSample	Failed assertion CurrAutoSample < 0
0x002dc598	CurrAutoSample	Failed assertion CurrAutoSample >= 0
0x002dc5ec	CurrToken,TOKEN_MAX	Failed assertion CurrToken == TOKEN_MAX
0x002f0938	GCShadowDP,GCShadowDPPtr,MAX_SHADOW_GFX	Failed assertion GCShadowDPPtr - GCShadowDP < MAX_SHADOW_GFX * sizeof(Gfx)
0x002ce5f8	cellEnd	Failed assertion MINOBJSIZE <= (char*) cellEnd - (char*) end
0x002e9cf0	MAX_OBJECTS,ObjListSize	Failed assertion ObjListSize<MAX_OBJECTS
0x002e7c60	angleCutOff	Failed assertion angleCutOff>=0 && angleCutOff<=90.0F
0x002e91b4	animInstance	Failed assertion animInstance
0x002e9554	animNum,numAnims	Failed assertion animNum>=0 && animNum<model->numAnims
0x002e9514	animNum,numVertexAnims	Failed assertion animNum>=0 && animNum<model->numVertexAnims
0x002e96e4	ANIMMAP_SIZE,animCacheSize,animSize	Failed assertion animSize<model->animCacheSize-ANIMMAP_SIZE
0x002e7d7c	LIGHT_ANIM_MAX,animType	Failed assertion animType<LIGHT_ANIM_MAX
0x002e86c8	animsLoadedTable	Failed assertion animsLoadedTable
0x0030fab4	BP_NUMTYPES	Failed assertion back->type != BP_NUMTYPES
0x00321458	barrelobj	Failed assertion barrelobj
0x002ef308	GCpolygons,blockBase,blockEnd	Failed assertion block->GCpolygons>=blockBase && block->GCpolygons<blockEnd
0x002ef2bc	GCtextures,blockBase,blockEnd	Failed assertion block->GCtextures>=blockBase && block->GCtextures<blockEnd
0x002ef288	GCtextures	Failed assertion block->GCtextures[i]
0x002ef5c0	blockBase,blockEnd	Failed assertion block->displayLists>=blockBase && block->displayLists<blockEnd
0x002ef658	blockBase,blockEnd	Failed assertion block->displayLists[i].displayList>=blockBase && block->displayLists[i].displayList<blockEnd
0x002ef78c	displayListSize,listNum	Failed assertion block->displayLists[listNum].displayListSize>0 && !(block->displayLists[listNum].displayListSize&0x1f)
0x002ef354	blockBase,blockEnd	Failed assertion block->polygonGroups>=blockBase && block->polygonGroups<blockEnd
0x002ef4ac	blockBase,blockEnd,renderStream	Failed assertion block->renderStream>=blockBase && block->renderStream<blockEnd
0x002ef610	blockBase,blockEnd	Failed assertion block->shaders>=blockBase && block->shaders<blockEnd
0x002ef4fc	blockBase,blockEnd,transparentRenderStream	Failed assertion block->transparentRenderStream>=blockBase && block->transparentRenderStream<blockEnd
0x002ef400	blockBase,blockEnd,vertexColours	Failed assertion block->vertexColours>=blockBase && block->vertexColours<blockEnd
0x002ef3a8	blockBase,blockEnd,vertexPositions	Failed assertion block->vertexPositions>=blockBase && block->vertexPositions<blockEnd
0x002ef454	blockBase,blockEnd	Failed assertion block->vertexTexCoords>=blockBase && block->vertexTexCoords<blockEnd
0x002ef564	blockBase,blockEnd,waterRenderStream	Failed assertion block->waterRenderStream>=blockBase && block->waterRenderStream<blockEnd
0x002ef260	blockSize	Failed assertion blockSize==block->size
0x002e79a0	channelID	Failed assertion channelID>=GX_COLOR0 && channelID<=GX_COLOR1A1
0x002e7b54	channelID,channelInfo	Failed assertion channelInfo[channelID].set
0x002eac60	parentobj	Failed assertion childObject->parentobj==NULL
0x002eac90	OBJ2_CHILDPLACE,childPosition	Failed assertion childPosition<=OBJ2_CHILDPLACE
0x002eabd0	childPosition,noplacements,objdata	Failed assertion childPosition>=0 && childPosition<parentObject->objdata->noplacements
0x002ef848	colourNum,numColours	Failed assertion colourNum>=0 && colourNum<block->numColours
0x002e9364	colourNum,numColours	Failed assertion colourNum>=0 && colourNum<model->numColours
0x002ef888	coordNum,numColours	Failed assertion coordNum>=0 && coordNum<block->numColours
0x002e93a4	coordNum,numColours	Failed assertion coordNum>=0 && coordNum<model->numColours
0x002e9a74	curr2	Failed assertion curr2->count > 2
0x0030fca8	STAFFACTION_LEVER	Failed assertion def->actionType==STAFFACTION_LEVER
0x002eb8f4	displayListSize	Failed assertion displayList->displayListSize>0 && !(displayList->displayListSize&0x1f)
0x002e7c98	eccentricity	Failed assertion eccentricity>=1.0F && eccentricity<=256.0F
0x003021e4	Emptybartex,enbar	Failed assertion enbar->Emptybartex[0].texture
0x003021b4	Fullbartex,enbar	Failed assertion enbar->Fullbartex[0].texture
0x00321440	genobj	Failed assertion genobj
0x002ef904	groupNum,numGroups	Failed assertion groupNum>=0 && groupNum<block->numGroups
0x002e958c	groupNum,numGroups	Failed assertion groupNum>=0 && groupNum<model->numGroups
0x002e99c0	GQR_SCALE_MAX,posNrmShift	Failed assertion hdr->posNrmShift < GQR_SCALE_MAX
0x002e9998	posNrmShift	Failed assertion hdr->posNrmShift > 0
0x002e99f4	sk2ListArray	Failed assertion hdr->sk2ListArray
0x002e9a18	sk2ListArray	Failed assertion hdr->sk2ListArray[0].count
0x002e9a44	sk2ListArray,vertSrc	Failed assertion hdr->sk2ListArray[0].vertSrc
0x002edd7c	MAX_LIGHTMAPS	Failed assertion i<MAX_LIGHTMAPS
0x002e785c	numLightsInList	Failed assertion i<numLightsInList
0x002eacec	numChildren	Failed assertion i<parentObject->numChildren
0x002ea1bc	instanceNum,noframes,objdata	Failed assertion instanceNum>=0 && instanceNum<object->objdata->noframes
0x002ea9d4	jointNum,numJoints	Failed assertion jointNum >= 0 && jointNum < modelIns->mod->numJoints
0x002ea940	jointNum,numJoints	Failed assertion jointNum >= 0 && jointNum < modelInstance->mod->numJoints
0x002e9420	jointNum,numJoints	Failed assertion jointNum>=0 && jointNum<model->numJoints
0x002eb45c	jointmtx	Failed assertion jointmtx
0x002e5afc	highPtr,keyPtr,sparseArray	Failed assertion keyPtr!=sparseArray->highPtr
0x002e5ad0	keyPtr,sparseArray	Failed assertion keyPtr<sparseArray->endPtr
0x002edb9c	MAX_SHADER_MATERIAL_LAYERS,layerNum	Failed assertion layerNum>=0 && layerNum<MAX_SHADER_MATERIAL_LAYERS
0x0032293c	lightData	Failed assertion lightData
0x00322900	lightData	Failed assertion lightData->light
0x002e7b30	lightID	Failed assertion lightID<=GX_LIGHT7
0x002edcc8	lightMap	Failed assertion lightMap
0x002edce4	lightMap	Failed assertion lightMap->texture->usage<USHRT_MAX
0x002edc1c	lightMaps	Failed assertion lightMaps[i].texture
0x002e7c34	LIGHT_TYPE_MAX	Failed assertion lightType<LIGHT_TYPE_MAX
0x002ef74c	listNum,numDisplayLists	Failed assertion listNum>=0 && listNum<block->numDisplayLists
0x002e945c	listNum,numDisplayLists	Failed assertion listNum>=0 && listNum<model->numDisplayLists
0x002e7978	channelOneMask	Failed assertion mask&channelOneMask
0x002e78d4	MAX_LIGHTS_PER_OBJECT	Failed assertion maxLights<=MAX_LIGHTS_PER_OBJECT
0x002e981c	maxModelNum	Failed assertion maxModelNum<=SHRT_MAX
0x002eaaa0	mdist	Failed assertion mdist
0x002defe8	SYNTH_FX_MIDISET	Failed assertion midiSet!=SYNTH_FX_MIDISET
0x0030212c	maxenergy,minenergy	Failed assertion minenergy < maxenergy
0x002e90dc	GCpolygons,modelEnd	Failed assertion model->GCpolygons>=modelBase && model->GCpolygons<modelEnd
0x002e8c54	GCtextures,modelEnd	Failed assertion model->GCtextures>=modelBase && model->GCtextures<modelEnd
0x002e8b1c	GCtextures	Failed assertion model->GCtextures[i]
0x002e8e48	modelEnd	Failed assertion model->displayLists>=modelBase && model->displayLists<modelEnd
0x002e8fd4	modelEnd	Failed assertion model->displayLists[i].displayList>=modelBase && model->displayLists[i].displayList<modelEnd
0x002e949c	displayListSize,listNum	Failed assertion model->displayLists[listNum].displayListSize>0 && !(model->displayLists[listNum].displayListSize&0x1f)
0x002e8c14	modelEnd	Failed assertion model->exT>=modelBase && model->exT<modelEnd
0x002e8b90	modelEnd	Failed assertion model->joints>=modelBase && model->joints<modelEnd
0x002e9128	modelEnd	Failed assertion model->polygonGroups>=modelBase && model->polygonGroups<modelEnd
0x002e8bd4	modelEnd	Failed assertion model->radi>=modelBase && model->radi<modelEnd
0x002e8df8	modelEnd,renderStream	Failed assertion model->renderStream>=modelBase && model->renderStream<modelEnd
0x002e8f8c	modelEnd	Failed assertion model->shaders>=modelBase && model->shaders<modelEnd
0x002e8ee8	modelEnd,skin2Matrices	Failed assertion model->skin2Matrices>=modelBase && model->skin2Matrices<modelEnd
0x002e8f3c	modelEnd,skinWeights	Failed assertion model->skinWeights>=modelBase && model->skinWeights<modelEnd
0x002e8b44	modelEnd,sphereHits	Failed assertion model->sphereHits>=modelBase && model->sphereHits<modelEnd
0x002e8e98	modelEnd,vertexAnims	Failed assertion model->vertexAnims>=modelBase && model->vertexAnims<modelEnd
0x002e9088	modelEnd,vertexAnims	Failed assertion model->vertexAnims[i]>=modelBase && model->vertexAnims[i]<modelEnd
0x002e8d4c	modelEnd,vertexColours	Failed assertion model->vertexColours>=modelBase && model->vertexColours<modelEnd
0x002e8cf8	modelEnd,vertexNormals	Failed assertion model->vertexNormals>=modelBase && model->vertexNormals<modelEnd
0x002e8ca0	modelEnd,vertexPositions	Failed assertion model->vertexPositions>=modelBase && model->vertexPositions<modelEnd
0x002e8da0	modelEnd	Failed assertion model->vertexTexCoords>=modelBase && model->vertexTexCoords<modelEnd
0x002e871c	maxModelNum,modelNum	Failed assertion modelNum>=0 && modelNum<maxModelNum
0x002e86a4	modelsLoadedTable	Failed assertion modelsLoadedTable
0x002e5ab4	newElement	Failed assertion newElement
0x002eaa1c	nofeet	Failed assertion nofeet > 0 && nofeet < 16
0x002e9324	normalNum,numNormals	Failed assertion normalNum>=0 && normalNum<model->numNormals
0x002e7908	MAX_LIGHTS_CONTRIBUTING,numContributingLights	Failed assertion numContributingLights<MAX_LIGHTS_CONTRIBUTING
0x002eb9f8	MAX_LIGHTS_PER_OBJECT,numLights	Failed assertion numLights<=MAX_LIGHTS_PER_OBJECT
0x002e7828	MAX_LIGHTS_IN_LIST,numLightsInList	Failed assertion numLightsInList<MAX_LIGHTS_IN_LIST
0x002eba2c	numProjectedTextureLights	Failed assertion numProjectedTextureLights<=2
0x002edb00	numTevStages	Failed assertion numTevStages<15
0x002eda08	numTevStages	Failed assertion numTevStages<16
0x002edb24	numTexGens	Failed assertion numTexGens<7
0x002eda80	numTexGens	Failed assertion numTexGens<8
0x002edae0	numTexGens	Failed assertion numTexGens<=8
0x002e9f78	objdata	Failed assertion obj->objdata
0x002eab14	lockdata,objdata	Failed assertion obj->objdata->lockdata
0x002eaa48	nofeet,noplacements,objdata,placeno	Failed assertion obj->objdata->noplacements > placeno+nofeet
0x00322bec	OBTYPE_LIGHTEMIT,lightObject,objCheckType	Failed assertion objCheckType( lightObject, OBTYPE_LIGHTEMIT)
0x002ea150	modelno,noframes,objdata	Failed assertion object->modelno>=0 && object->modelno<object->objdata->noframes
0x00322618	OBJ_ARWArwingBooster	Failed assertion object->romdefno==OBJ_ARWArwingBooster
0x00322650	OBJ_ARWArwingGunFlashLeft,OBJ_ARWArwingGunFlashRight	Failed assertion object->romdefno==OBJ_ARWArwingGunFlashLeft || object->romdefno==OBJ_ARWArwingGunFlashRight
0x003226c0	OBJ_ARWArwingRoll	Failed assertion object->romdefno==OBJ_ARWArwingRoll
0x002eacc0	numChildren	Failed assertion parentObject->numChildren
0x002eac28	MAX_CHILDREN,numChildren	Failed assertion parentObject->numChildren<MAX_CHILDREN
0x002ea98c	noplacements,objdata,placeNum	Failed assertion placeNum>=0 && placeNum < obj->objdata->noplacements
0x002ea8f8	noplacements,objdata,placeNum	Failed assertion placeNum>=0 && placeNum<object->objdata->noplacements
0x002ef940	numPolygons,polygonNum	Failed assertion polygonNum>=0 && polygonNum<block->numPolygons
0x002e95c8	numPolygons,polygonNum	Failed assertion polygonNum>=0 && polygonNum<model->numPolygons
0x002e987c	posVec	Failed assertion posVec
0x002ef804	numPositions,positionNum	Failed assertion positionNum>=0 && positionNum<block->numPositions
0x002e92e0	numPositions,positionNum	Failed assertion positionNum>=0 && positionNum<model->numPositions
0x002e9240	numPositions,positionNum	Failed assertion positionNum>=0 && positionNum<modelInstance->mod->numPositions
0x002e7bec	referenceBrightness	Failed assertion referenceBrightness>=0 && referenceBrightness<=1.0F
0x002e7bc4	referenceDistance	Failed assertion referenceDistance>=0
0x002eb7bc	renderStream	Failed assertion renderStream
0x002dc5c0	PERFCurrSample	Failed assertion sample < PERFCurrSample
0x002eb7dc	GC_VERTEXFORMAT_NORMAL,inputFormat	Failed assertion shader->inputFormat&GC_VERTEXFORMAT_NORMAL
0x002eb894	numMaterialLayers	Failed assertion shader->numMaterialLayers==1
0x002ef70c	numShaders,shaderNum	Failed assertion shaderNum>=0 && shaderNum<block->numShaders
0x002e92a0	numShaders,shaderNum	Failed assertion shaderNum>=0 && shaderNum<model->numShaders
0x002e91f4	numShaders,shaderNum	Failed assertion shaderNum>=0 && shaderNum<modelInstance->mod->numShaders
0x002e5a94	sparseArray	Failed assertion sparseArray
0x002ef8c4	numTextures,textureNum	Failed assertion textureNum>=0 && textureNum<block->numTextures
0x002e93e0	numTextures,textureNum	Failed assertion textureNum>=0 && textureNum<model->numTextures
0x00320100	DROP_MAX	Failed assertion type>=0 && type < DROP_MAX
0x0030bd38	weaponObject	Failed assertion weaponObject
0x002dd6e8	synthesizer	Fatal: Could not allocate synthesizer voice array.
0x00319297	Fdddd	Fdddd
0x0030efb7	Ffoodbag	Ffoodbag.c
0x0030f5ee	Fhfish	Fhfish has reached the end of it life
0x00305b6c	Filename	Filename:
0x003087fc	Fires	Fires a warning
0x0030a560	Forwards	Forwards
0x002f0418	Romdef	Found Romdef for %i tab no %i %f %f %f 
0x002ef078	Freak	Freak a0 %x  a1 %x 
0x0030f148	startHeight	Fruit info: nextY %f, acc %f, water acc %f, startHeight %f, yStart %f, obj->fy %f
0x0030f19c	movementFdt,upwardsBounceVelocity	Fruit upwardsBounceVelocity %f movementFdt %f
0x002e8230	GAME_COL	GAME_COL
0x003232bc	GFX_COL	GFX_COL
0x003042fc	GPlains_Shrine	GPlains_Shrine
0x002d87ec	doughnut	GXDrawTorus: doughnut too fat
0x002d84c4	GXInitFogAdjTable	GXInitFogAdjTable: invalid width value
0x002d8498	GXInitFogAdjTable	GXInitFogAdjTable: table pointer is null
0x002d6c6c	GXLoadLightStateImm	GXLoadLightStateImm: Invalid Light Id
0x002d5644	Cannot,making	GXSetMisc: Cannot change DL context setting while making a display list
0x002f0bb4	G_MVO_LOOKATX	G_MVO_LOOKATX
0x002f0bc4	G_MVO_LOOKATY	G_MVO_LOOKATY
0x002f0b9c	G_MV_MMTX	G_MV_MMTX
0x002f0ba8	G_MV_PMTX	G_MV_PMTX
0x002f0b8c	G_MW_MATRIX	G_MW_MATRIX
0x00323dc8	GamNo	GamNo 
0x00304aa8	Diagnostics	Game Diagnostics
0x00304db0	Editor	Game Editor
0x00304108	GamePlay	GamePlay
0x0030b314	Purpose	General Purpose Registers %d-%d
0x0030a9b0	Generating	Generating weapon data
0x0030413c	GraphicEffect	GraphicEffect
0x00301af8	Greetings,McCloud	Greetings, Fox McCloud.
0x00309ac4	walls	Ground and walls
0x00309ad8	walls	Ground, walls and world objects
0x002dea6c	songgroup	Group ID=%d is no songgroup.
0x002dea8c	soundstack	Group ID=%d is not on soundstack.
0x00311a50	WindLIft	Guardian Out of WindLIft Boyo !!! 
0x002dbc9f	HColor	HColor 1 control register
0x002cd1c0	HERELOCK	HERELOCK
0x00317f30	dframe	HIT dframe=%f
0x002cd1d4	HITTINGME	HITTINGME
0x003044a4	Headphones	Headphones
0x0030a1e0	HeightType	HeightType 
0x00323f1c	HitOn	HitOn
0x00301ba0	outcome	I compute a successful outcome.
0x00309de4	ILLEGAL	ILLEGAL CLASS
0x002ccff4	ILLUSION	ILLUSION
0x00313920	IMicicle	IMicicle.c
0x003197f8	IMsnowbike	IMsnowbike.c
0x00313a10	IMspacecraft	IMspacecraft.c
0x002ecbf8	INANIM	INANIM LOCK %x
0x002ec9d0	INANIMCURVE	INANIMCURVE LOCK %x
0x002ec9e8	INANIMCURVETAB	INANIMCURVETAB LOCK %x
0x002ecc48	INANIMTAB	INANIMTAB LOCK %x
0x002eca50	INBLOCKS	INBLOCKS LOCK %x
0x002ecac8	INBLOCKTAB	INBLOCKTAB LOCK %x
0x002cd1fc	INFIGHT	INFIGHT
0x002ecb58	INMODELS	INMODELS LOCK %x
0x002ecbac	INMODTABLOCK	INMODTABLOCK %x
0x002ccfcc	INSEQ	INSEQ
0x002ccfe0	INSEQBLEND	INSEQBLEND
0x00323fdc	INTA16	INTA16
0x00323fec	INTA4	INTA4
0x00323fe4	INTA8	INTA8
0x002ecddc	INTEX	INTEX LOCK %x
0x002eccf4	INTEX2	INTEX2 LOCK %x
0x002ece2c	INTEXTAB	INTEXTAB LOCK %x
0x002ecd88	INTEXTAB2	INTEXTAB2 LOCK %x
0x002ece40	INTEXTABB	INTEXTABB LOCK %x
0x003087a4	Ignore,peaceful	Ignore peaceful
0x00304de0	Instrumentation	Instrumentation:
0x00304358	Intro_Sequence	Intro_Sequence
0x002d9f00	host_normal	Invalid value (%d) for INVERTEXSPEC_REG.host_normal
0x002f1028	JUMPTARGET	JUMPTARGET: label=%d
0x002f1058	JUMPTOLABEL	JUMPTOLABEL: label=%d
0x002f1040	JUMPTOTIME	JUMPTOTIME: time=%d
0x003223c0	JoyStick	JoyStick: x=%2f y=%2f l=%2f r=%2f
0x002f00d8	Cannot,LAYERVDFSIZE	LAYERVDFSIZE exceeded!!! Cannot add layer vdf
0x00321087	LDRcollpieace	LDRcollpieace.c
0x003232b4	LFX_COL	LFX_COL
0x00322bd8	LGTcontrollight	LGTcontrollight.c
0x00322b38	LGTprojectedlight	LGTprojectedlight.c
0x002edaa0	tevStageID,texCoordID,texMapID,texMatrixID	LIGHT: tevStageID=%d texMatrixID=%d texMapID=%d texCoordID=%d
0x002e8174	LISTS_COL	LISTS_COL
0x00305f30	LOADFLAGS	LOADFLAGS %s %d	
0x002cd184	LOCKEDON	LOCKEDON
0x002cd198	LOSLOCK	LOSLOCK
0x002e4f50	Land_CRF	Land_CRF
0x002e4f44	Land_HOL	Land_HOL
0x0030ac2c	Landscape	Landscape      :
0x00321db4	Recharging	Laser: Recharging
0x00309dc8	Last2	Last2: %d,%d
0x002e772f	Couldn,LdvdLoadFile	LdvdLoadFile: Couldn't open file '%s'
0x002def30	Leaving	Leaving sndInit().
0x0030488c	Detail	Level of Detail
0x0030a00c	Editor	Line Editor
0x00309f94	Linehits,deleted	Linehits deleted
0x0031b357	Lladders	Lladders.c
0x00305bc8	Database	Load Game From Database
0x00305618	LoadRange	LoadRange
0x003232f0	MAGENTA	MAGENTA
0x0030f4c8	modelno	MAGICPLANT: modelno error
0x002f6048	MAX_CHECKPOINTS	MAX_CHECKPOINTS overflow!!
0x00303ae8	MFX_SH_AboveGroundFullTune	MFX_SH_AboveGroundFullTune
0x00303b44	MFX_SH_AboveGroundLowTune	MFX_SH_AboveGroundLowTune
0x00303b30	MFX_SH_AmbienceDay	MFX_SH_AmbienceDay
0x00303b18	MFX_SH_AmbienceNight	MFX_SH_AmbienceNight
0x00303b04	MFX_SH_InHollowTune	MFX_SH_InHollowTune
0x00303ad4	MFX_SH_MushroomTune	MFX_SH_MushroomTune
0x00303ab8	MFX_SH_TalkSwapstoneTune	MFX_SH_TalkSwapstoneTune
0x0030dae4	MMP_cratercritter	MMP_cratercritter.c
0x00313280	MMP_gyservent	MMP_gyservent.c
0x003130f8	MMP_levelcontrol	MMP_levelcontrol.c
0x00313200	MMP_moonrock	MMP_moonrock.c
0x003042dc	MMount_Shrine	MMount_Shrine
0x002e8ac4	MODELNUM	MODEL OFFSET %x  MODELNUM %d
0x002e81c4	MODELS_COL	MODELS_COL
0x002e820c	MODGFX_COL	MODGFX_COL
0x002ecf44	MODTAB	MODTAB %4d 0x%x 
0x0032187c	MOONBLOCK	MOONBLOCK: invalid grid position
0x002dfa50	properly	MRAM address is not aligned properly
0x00319bb0	MUSIC_ALIENWORLD	MUSIC_ALIENWORLD
0x00319ba0	MUSIC_ONDINO	MUSIC_ONDINO
0x003218e0	MUSIC_WALLEDCITY_CLOCK	MUSIC_WALLEDCITY_CLOCK
0x003218f8	MUSIC_WALLEDCITY_MAIN	MUSIC_WALLEDCITY_MAIN
0x0030ac18	MainCharacter	MainCharacter  :
0x00309f18	Editor	Map Editor
0x002dac4c	MatrixIndex0	MatrixIndex0.Geometry matrix values must be loaded, however...
0x002f66ac	MAX_WALKCORNERS,increase	Maximum walk group error (increase MAX_WALKCORNERS)
0x002f65c0	MAX_WALKGROUPS,increase	Maximum walk group error (increase MAX_WALKGROUPS)
0x00321fcc	ROLLBANK	Mode: ANGLE LIMIT ROLLBANK
0x00322068	ROLLBANK	Mode: ANGLE SCALE ROLLBANK
0x003222c8	RAMPUP	Mode: BANK RAMPUP LIMIT
0x003222f0	RAMPUP	Mode: BANK RAMPUP SPEED
0x0032211c	RECHARGE	Mode: BOMB RECHARGE
0x00322348	CLICK	Mode: DOUBLE CLICK TIME
0x003222ac	RAMPUP	Mode: IDLE RAMPUP SPEED
0x003220a8	RECHARGE	Mode: LASER RECHARGE
0x00304524	Viewer	Model Viewer
0x002d1280	MtxIdentity	MtxIdentity():  NULL Mtx 'm' 
0x002ef040	Multiple	Multiple texture fail!!
0x002cd224	NEWSTATE	NEWSTATE
0x00304318	NWastes_Shrine	NWastes_Shrine
0x00317538	NWmammoth	NWmammoth.c
